verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
half-true,Barack Obama,The White House budget plan will bring domestic discretionary spending to its lowest share of our economy since Dwight Eisenhower was president.,2/14/2011,speech,Robert Farley,2/16/2011,https://www.politifact.com/factchecks/2011/feb/16/barack-obama/obama-says-domestic-spending-headed-lowest-level-e/
FALSE,Donald Trump,"""Some of the things that (Megyn Kelly) said, I didn’t say.""",8/9/2015,news,Will Cabaniss,8/10/2015,https://www.politifact.com/factchecks/2015/aug/10/donald-trump/donald-trump-says-women-viciously-attacked-him-fir/
mostly-true,Marco Rubio,"Says Patrick ""Murphy embellished, according to reports, his University of Miami academic achievement.""",9/13/2016,advertisement,Amy Sherman,9/15/2016,https://www.politifact.com/factchecks/2016/sep/15/marco-rubio/marco-rubios-ad-says-patrick-murphy-embellished-un/
mostly-true,Bernie Sanders,"""Today in America, we have more people in jail than any other country on Earth.""",10/13/2015,speech,Jon Greenberg,10/13/2015,https://www.politifact.com/factchecks/2015/oct/14/bernie-sanders/bernie-sanders-united-states-has-more-people-jail-/
FALSE,Donald Trump,"""Our veterans, in many cases, are being treated worse than illegal immigrants.""",9/7/2016,speech,Louis Jacobson,9/9/2016,https://www.politifact.com/factchecks/2016/sep/09/donald-trump/trump-says-veterans-treated-worse-illegal-immigran/
FALSE,Andrew Cuomo,"""A case before Washington’s Supreme Court seeks to effectively end public labor unions.""",1/3/2018,speech,Dan Clark,1/17/2018,https://www.politifact.com/factchecks/2018/jan/17/andrew-cuomo/unions-would-suffer-not-end-because-supreme-court-/
mostly-false,Donald Trump,"Says Hillary Clinton has spoken ""such lies about my foreign policy. They said I want Japan to … get nuclear weapons. Give me a break.""",6/1/2016,speech,Louis Jacobson,6/2/2016,https://www.politifact.com/factchecks/2016/jun/02/donald-trump/donald-trump-wrong-accusing-hillary-clinton-lying-/
FALSE,Donald Trump,"""Democrats oppose any effort to secure our border.""",10/24/2018,campaign,Miriam Valverde,10/30/2018,https://www.politifact.com/factchecks/2018/oct/30/donald-trump/donald-trump-falsely-claims-democrats-oppose-any-e/
half-true,Donald Trump,"San Diego’s border barrier ""almost completely ended illegal crossings.""",2/5/2019,speech,Chris Nichols,2/7/2019,https://www.politifact.com/factchecks/2019/feb/07/donald-trump/there-are-holes-president-trumps-claim-about-san-d/
mostly-false,Marco Rubio,"Says the goal of the Affordable Care Act was to get 30 million people insured, but it only got 7 million.",4/1/2014,news,Julie Kliegman,4/4/2014,https://www.politifact.com/factchecks/2014/apr/04/marco-rubio/rubio-says-health-care-law-fell-short-goal-30-mill/
half-true,Barack Obama,"Says Mitt Romney ""paid only 14 percent in taxes — probably less than you.""",8/2/2012,campaign,Louis Jacobson,8/9/2012,https://www.politifact.com/factchecks/2012/aug/09/barack-obama/barack-obama-says-most-americans-pay-higher-tax-ra/
mostly-true,Donald Trump,"""We got the highest vote count in the history of the Republican Party.""",7/5/2016,speech,Will Doran,7/8/2016,https://www.politifact.com/factchecks/2016/jul/08/donald-trump/donald-trump-set-record-most-gop-primary-votes-eve/
mostly-true,Mike Pence,"""Since President (Donald Trump’s) election, 36,000 jobs have been created in WI.""",11/20/2019,social_media,Eric Litke,11/21/2019,https://www.politifact.com/factchecks/2019/nov/21/mike-pence/mike-pence-right-about-wisconsin-jobs-increase/
mostly-false,Barack Obama,"If there’s a government shutdown, ""people don’t get their Social Security checks.""",2/15/2011,news,Louis Jacobson,2/24/2011,https://www.politifact.com/factchecks/2011/feb/24/barack-obama/barack-obama-says-if-theres-government-shutdown-so/
TRUE,Greg Abbott,"""My wife is going to be the first Hispanic first lady in the history of Texas.""",12/7/2014,news,Dylan Baddour,12/22/2014,https://www.politifact.com/factchecks/2014/dec/22/greg-abbott/greg-abbott-my-wife-going-be-first-hispanic-first-/
half-true,Jim Jordan,"""Only seven of 18 federal food assistance programs have been associated with positive health and nutrition outcomes, while the remaining 11 have not been effective.""",6/1/2011,testimony,Tom Feran,6/30/2011,https://www.politifact.com/factchecks/2011/jun/30/jim-jordan/rep-jim-jordan-says-7-18-food-programs-check-out-1/
TRUE,Mike Pence,"The stimulus bill contains ""$20 million for the removal of small to medium-sized fish passage barriers"" and ""$25 million to rehabilitate off-roading trails for ATVs.""",2/3/2009,speech,Angie Drobnic Holan,2/4/2009,https://www.politifact.com/factchecks/2009/feb/04/mike-pence/stimulus-has-money-help-fish-roaders/
pants-fire,Donald Trump,"Says Hillary Clinton has ""not answered a single question"" about her immigration plan.",8/31/2016,speech,Anthony Cave,9/9/2016,https://www.politifact.com/factchecks/2016/sep/09/donald-trump/donald-trumps-pants-fire-claim-hillary-clinton-has/
half-true,Barack Obama,"John McCain ""has threatened extinction for North Korea and sung songs about bombing Iran.""",9/26/2008,other,Angie Drobnic Holan,9/29/2008,https://www.politifact.com/factchecks/2008/sep/29/barack-obama/one-obama-example-is-just-too-old/
mostly-true,Bernie Sanders,"""We’ve spent more money on the military than the next 12 nations combined.""",4/19/2018,speech,Paul Specht,4/24/2018,https://www.politifact.com/factchecks/2018/apr/24/bernie-sanders/sanders-says-us-military-spending-bigger-next-12-n/
half-true,Donald Trump,"""Cases, numbers and deaths (of COVID-19) are going down all over the Country!""",5/24/2020,social_media,Louis Jacobson,5/28/2020,https://www.politifact.com/factchecks/2020/may/28/donald-trump/are-coronavirus-cases-going-down-all-over-us/
half-true,Joe Biden,"""Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.""",12/16/2020,other,Jon Greenberg,12/17/2020,https://www.politifact.com/factchecks/2020/dec/17/joe-biden/us-bridges-need-fixing-joe-biden-overstates-immedi/
FALSE,Donald Trump,"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""",7/21/2016,speech,Linda Qiu,7/21/2016,https://www.politifact.com/factchecks/2016/jul/22/donald-trump/despite-new-adverb-trumps-claim-about-clinton-want/
mostly-false,Ted Cruz,"""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012.""",9/21/2015,news,Louis Jacobson,9/25/2015,https://www.politifact.com/factchecks/2015/sep/25/ted-cruz/ted-cruz-says-slow-economic-growth-under-jimmy-car/
half-true,Bernie Sanders,"""If you look at California, if you look at people of color in general, African-Americans, Latinos, Asian-Americans, we won that big time. Big time. Not even close.""",3/4/2020,news,Chris Nichols,3/9/2020,https://www.politifact.com/factchecks/2020/mar/09/bernie-sanders/fact-check-did-bernie-sanders-win-people-color-cal/
half-true,Barack Obama,"Mitt Romney ""said it was 'tragic' to end the war in Iraq.""",9/6/2012,speech,Katie Sanders,9/7/2012,https://www.politifact.com/factchecks/2012/sep/07/barack-obama/obama-says-romney-said-it-was-tragic-end-war-iraq/
FALSE,Greg Abbott,"""Carnage"" is being caused ""by people who are coming across the border.""",6/16/2021,news,Brandon Mulder,7/2/2021,https://www.politifact.com/factchecks/2021/jul/02/greg-abbott/are-migrants-causing-carnage-texas-border-abbotts-/
half-true,Marco Rubio,"""Charlie Crist was the only prominent Republican in the country to campaign with Barack Obama before the stimulus passed, on behalf of the stimulus.""",2/17/2010,news,Aaron Sharockman,3/1/2010,https://www.politifact.com/factchecks/2010/mar/02/marco-rubio/crist-only-republican-campaign-obama-stimulus-rubi/
TRUE,John McCain,""" ... following World War II war crime trials were convened. The Japanese were tried and convicted and hung for war crimes committed against American POWs. Among those charges for which they were convicted was waterboarding.""",11/29/2007,campaign,John Frank,12/18/2007,https://www.politifact.com/factchecks/2007/dec/18/john-mccain/history-supports-mccains-stance-on-waterboarding/
FALSE,Mike Pence,"""10 cents on the dollar from the Clinton Foundation goes to charitable causes.""",10/4/2016,speech,Jon Greenberg,10/4/2016,https://www.politifact.com/factchecks/2016/oct/05/mike-pence/pence-repeats-false-claim-clinton-foundations-limi/
FALSE,Donald Trump,"""We have one of the lowest mortality rates in the world"" from COVID-19.",7/19/2020,news,Louis Jacobson,7/20/2020,https://www.politifact.com/factchecks/2020/jul/20/donald-trump/donald-trump-wrong-say-us-has-one-lowest-mortality/
half-true,Bill Clinton,"The stimulus program ""cut taxes for 95 percent of the American people.""",9/5/2012,speech,Angie Drobnic Holan,9/6/2012,https://www.politifact.com/factchecks/2012/sep/06/bill-clinton/clinton-says-obama-cut-taxes-95-percent-people-thr/
half-true,Marco Rubio,"""Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.""",12/30/2012,social_media,Amy Sherman,1/4/2013,https://www.politifact.com/factchecks/2013/jan/04/marco-rubio/marco-rubio-tweets-social-security-changes-gop/
pants-fire,Kevin McCarthy,"""I don't think anybody is questioning the legitimacy of the presidential election.""",5/12/2021,statement,Miriam Valverde,5/14/2021,https://www.politifact.com/factchecks/2021/may/14/kevin-mccarthy/ignoring-claims-his-own-party-kevin-mccarthy-says-/
half-true,Bernie Sanders,"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.""",11/14/2015,speech,Jon Greenberg,11/15/2015,https://www.politifact.com/factchecks/2015/nov/15/bernie-sanders/bernie-sanders-says-us-only-major-country-doesnt-g/
half-true,Mitch McConnell,"Says Hillary Clinton ""lied about why her parents named her Hillary.""",7/19/2016,speech,Louis Jacobson,7/19/2016,https://www.politifact.com/factchecks/2016/jul/20/mitch-mcconnell/did-hillary-clinton-lie-about-being-named-after-si/
mostly-false,Donald Trump,"""We’ve started building the wall.""",4/3/2018,news,Miriam Valverde,4/4/2018,https://www.politifact.com/factchecks/2018/apr/04/donald-trump/donald-trump-wrongly-claims-border-wall-under-cons/
mostly-true,Kamala Harris,"The Biden administration’s American Jobs Plan will be ""the biggest non-defense investment in research and development in the history of our country.""",5/5/2021,statement,Laura Schulte,5/28/2021,https://www.politifact.com/factchecks/2021/may/28/kamala-harris/harris-right-american-jobs-plan-being-largest-incr/
pants-fire,Donald Trump,"At the State of the Union address, Democrats, ""even on positive news … were like death and un-American. Un-American. Somebody said, ‘treasonous.’ I mean, yeah, I guess, why not? Can we call that treason? Why not?""",2/5/2018,speech,Louis Jacobson,2/6/2018,https://www.politifact.com/factchecks/2018/feb/06/donald-trump/donald-trumps-pants-fire-claim-about-treason/
mostly-false,Donald Trump,"""We have been losing to China for many years, $500 billion a year.",4/27/2019,speech,D.L. Davis,4/30/2019,https://www.politifact.com/factchecks/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/
mostly-false,Marco Rubio,"""Last year, I stopped an Obamacare bailout and saved taxpayers $2.5 billion.""",12/1/2015,social_media,Joshua Gillin,12/7/2015,https://www.politifact.com/factchecks/2015/dec/07/marco-rubio/rubio-says-he-prevented-25-billion-obamacare-bailo/
half-true,Ted Cruz,"With the Republican-backed tax cut, ""we’re seeing the result, and to date, federal tax revenues have gone up.""",10/16/2018,speech,Louis Jacobson,10/19/2018,https://www.politifact.com/factchecks/2018/oct/19/ted-cruz/ted-cruz-said-gop-tax-cut-led-higher-revenues-did-/
pants-fire,Donald Trump,Says crime statistics show blacks kill 81 percent of white homicide victims.,11/22/2015,social_media,Jon Greenberg,11/23/2015,https://www.politifact.com/factchecks/2015/nov/23/donald-trump/trump-tweet-blacks-white-homicide-victims/
FALSE,Donald Trump,"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",6/28/2018,speech,Louis Jacobson,7/2/2018,https://www.politifact.com/factchecks/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/
mostly-true,Ted Cruz,"""A majority of the men and women on this stage have previously and publicly embraced amnesty. I am the only candidate on this stage who has never supported amnesty.""",9/16/2015,television,Louis Jacobson,9/16/2015,https://www.politifact.com/factchecks/2015/sep/17/ted-cruz/ted-cruz-most-gop-candidates-publicly-embraced-amn/
mostly-false,Nancy Pelosi,"A recent spending bill had at least ""$1.6 billion in there ... for schools to give them an opportunity to secure them.""",5/23/2018,television,Louis Jacobson,5/24/2018,https://www.politifact.com/factchecks/2018/may/24/nancy-pelosi/did-congress-recently-approve-16-billon-school-saf/
FALSE,Donald Trump,"Gas prices were ""$1.86 when I left"" the White House.",12/8/2021,news,PolitiFact Staff,12/8/2021,https://www.politifact.com/factchecks/2021/dec/08/donald-trump/no-gas-did-not-cost-186-gallon-when-donald-trump-l/
mostly-false,Donald Trump,"""When I closed (travel from China) he said I should not have closed. ...He said this is a terrible thing, you are a xenophobe, I think he called me racist. Now he says I should have closed it earlier.""",10/22/2020,speech,Samantha Putterman,10/23/2020,https://www.politifact.com/factchecks/2020/oct/23/donald-trump/trump-repeats-flawed-claim-biden-opposed-trumps-co/
mostly-false,Donald Trump,"Says Dan McCready ""believes in open borders and sanctuary cities.""",8/27/2019,social_media,Paul Specht,8/30/2019,https://www.politifact.com/factchecks/2019/aug/30/donald-trump/trump-misleads-nc-about-dan-mccreadys-immigration-/
FALSE,Donald Trump,"""There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.""",5/18/2016,news,Linda Qiu,5/25/2016,https://www.politifact.com/factchecks/2016/may/25/donald-trump/donald-trumps-false-claim-oakland-ferguson-are-amo/
half-true,Donald Trump,"""Thousands of Americans have been killed by illegal immigrants.""",10/27/2016,campaign,Miriam Valverde,11/3/2016,https://www.politifact.com/factchecks/2016/nov/03/donald-trump/trump-leaves-out-context-claim-about-immigrants-an/
mostly-true,Donald Trump,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",1/11/2017,news,Lauren Carroll,1/11/2017,https://www.politifact.com/factchecks/2017/jan/11/donald-trump/trump-says-russians-were-unable-hack-republican-na/
pants-fire,Nancy Pelosi,"Says John Boehner ""admits 'we are not going to be any different than we’ve been' "" by returning to ""the same failed economic policies"" that ""wrecked our economy.""",9/23/2010,blog,Louis Jacobson,9/24/2010,https://www.politifact.com/factchecks/2010/sep/24/nancy-pelosi/nancy-pelosi-cites-john-boehner-saying-gop-plans-r/
half-true,Ted Cruz,"Says Obama's net neutrality proposal ""puts the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.""",11/10/2014,social_media,Lauren Carroll,11/13/2014,https://www.politifact.com/factchecks/2014/nov/13/ted-cruz/cruz-net-neutrality-regulations-put-government-cha/
pants-fire,Donald Trump,"On gift taking, ""Bob McDonnell took a fraction of what (Tim) Kaine took.""",7/24/2016,news,Warren Fiske,7/24/2016,https://www.politifact.com/factchecks/2016/jul/24/donald-trump/donald-trump-wrong-tim-kaine-took-fraction-bob-mcd/
FALSE,Gavin Newsom,"Gavin Newsom was ""the first to take on the National Rifle Association and win.""",4/23/2018,campaign,Chris Nichols,4/27/2018,https://www.politifact.com/factchecks/2018/apr/27/gavin-newsom/gavin-newsoms-false-claim-he-was-first-take-nra-an/
FALSE,Donald Trump,"Says Rep. Alexandria Ocasio-Cortez ""called our country and our people garbage.""",7/23/2019,speech,Jon Greenberg,7/23/2019,https://www.politifact.com/factchecks/2019/jul/23/donald-trump/no-ocasio-cortez-didnt-call-Americans-garbage/
half-true,Barack Obama,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",1/27/2010,speech,Robert Farley,1/27/2010,https://www.politifact.com/factchecks/2010/jan/28/barack-obama/obama-claims-two-million-more-americans-would-be-u/
mostly-true,Barack Obama,"The sequester ""won’t consider whether we’re cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesn’t make those distinctions.""",2/19/2013,speech,Louis Jacobson,2/21/2013,https://www.politifact.com/factchecks/2013/feb/21/barack-obama/barack-obama-says-sequestration-cuts-will-be-indis/
mostly-false,Greg Abbott,"Says ""Property crime rising in Austin. This is the kind of thing that happens when cities defund and deemphasize police. Residents are left to fend for themselves.""",10/1/2020,social_media,Brandon Mulder,10/9/2020,https://www.politifact.com/factchecks/2020/oct/09/greg-abbott/examining-austins-property-crime-trends/
half-true,Barack Obama,"Henry Kissinger ""said that we should meet with Iran — guess what — without precondition.""",9/26/2008,speech,Shawn Zeller,9/27/2008,https://www.politifact.com/factchecks/2008/sep/27/barack-obama/kissinger-and-obama-arent-really-on-the-same-page/
half-true,Joe Biden,"""We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.""",7/2/2021,speech,Louis Jacobson,7/9/2021,https://www.politifact.com/factchecks/2021/jul/09/joe-biden/joe-biden-target-early-job-gains-figure-leaves-out/
TRUE,John McCain,"Romney used to favor gun control, and said he didn't want to go back to Reagan-Bush.",1/28/2008,advertisement,Angie Drobnic Holan,1/28/2008,https://www.politifact.com/factchecks/2008/jan/28/john-mccain/romney-used-to-support-gun-control/
half-true,Mike Pence,"""There are more Hoosiers going to work than ever before.""",7/20/2016,speech,Louis Jacobson,7/20/2016,https://www.politifact.com/factchecks/2016/jul/21/mike-pence/mike-pence-says-there-are-more-hoosiers-going-work/
mostly-false,Barack Obama,"John Boehner said the jobs of ""teachers and nurses and police officers and firefighters"" are ""'government jobs' that weren't worth saving.""",9/5/2010,speech,Angie Drobnic Holan,9/8/2010,https://www.politifact.com/factchecks/2010/sep/08/barack-obama/obama-says-boehner-doesnt-think-jobs-teachers-poli/
mostly-true,Barack Obama,"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people.""",8/14/2012,news,Stephen Koff,8/23/2012,https://www.politifact.com/factchecks/2012/aug/23/barack-obama/barack-obama-says-mitt-romney-condemned-coal-fired/
FALSE,Greg Abbott,"""Texas #2 in nation for new gun purchases, behind California.""",10/28/2015,social_media,W. Gardner Selby,11/6/2015,https://www.politifact.com/factchecks/2015/nov/06/greg-abbott/greg-abbott-embarrassed-says-californians-buying-m/
mostly-false,Donald Trump,"""Even in California now, they don’t want to be sanctuary cities anymore. They want out.""",9/29/2018,speech,Kenna Richards,11/15/2018,https://www.politifact.com/factchecks/2018/nov/15/donald-trump/do-californians-want-out-sanctuary-cities-mostly-n/
mostly-false,Andrew Cuomo,"""Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.""",5/20/2020,news,Jill Terreri Ramos,6/13/2020,https://www.politifact.com/factchecks/2020/jun/13/andrew-cuomo/new-yorks-nursing-home-policy-was-not-line-cdc/
half-true,Dick Cheney,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",5/18/2014,news,Jon Greenberg,5/19/2014,https://www.politifact.com/factchecks/2014/may/19/dick-cheney/cheney-bush-admin-did-more-help-georgia-obama-has-/
mostly-false,Barack Obama,"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""",9/18/2012,campaign,Jon Greenberg,9/24/2012,https://www.politifact.com/factchecks/2012/sep/24/barack-obama/obama-says-romney-could-take-away-middle-class-tax/
FALSE,Barack Obama,"""I think we came down here (to Florida) one time ... but we weren't actively fundraising here.""",5/22/2008,other,Robert Farley,5/30/2008,https://www.politifact.com/factchecks/2008/may/30/barack-obama/maybe-not-a-lot-but-obama-held-fundraisers/
FALSE,Bernie Sanders,"""Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.""",1/19/2016,speech,C. Eugene Emery Jr.,1/26/2016,https://www.politifact.com/factchecks/2016/jan/26/bernie-sanders/bernie-sanders-says-he-polls-better-against-gop-ca/
mostly-true,Barack Obama,"""The Interior Department has only 30 days to review an exploration plan submitted by an oil company. That leaves no time for the appropriate environmental review. The result is, they are continually waived.""",5/27/2010,news,Louis Jacobson,6/1/2010,https://www.politifact.com/factchecks/2010/jun/01/barack-obama/obama-blames-30-day-limit-law-role-oil-spill/
mostly-true,Donald Trump,"""101 utilities cut rates, credit GOP tax cuts.""",6/7/2018,social_media,Louis Jacobson,6/11/2018,https://www.politifact.com/factchecks/2018/jun/11/donald-trump/have-101-utilities-cut-rates-thanks-gop-tax-bill/
mostly-true,Donald Trump,"In first week as governor, Tim Kaine ""proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.""",7/25/2016,speech,Sean Gorman,7/28/2016,https://www.politifact.com/factchecks/2016/jul/28/donald-trump/donald-trump-says-tim-kaine-proposed-4-billion-tax/
mostly-false,Barack Obama,"""Anybody can buy any weapon, any time without much, if any, regulation. They buy it over the internet. They can buy machine guns.""",5/30/2019,news,Jon Greenberg,6/4/2019,https://www.politifact.com/factchecks/2019/jun/04/barack-obama/barack-obama-wrong-limits-us-gun-laws/
TRUE,Barack Obama,"Clinton said ""great things about NAFTA until she started running for president.""",2/24/2008,other,Angie Drobnic Holan,2/25/2008,https://www.politifact.com/factchecks/2008/feb/25/barack-obama/clinton-has-changed-on-nafta/
FALSE,Donald Trump,"""The birther movement was started by Hillary Clinton in 2008. She was all in!""",9/22/2015,social_media,Jon Greenberg,9/23/2015,https://www.politifact.com/factchecks/2015/sep/23/donald-trump/hillary-clinton-obama-birther-fact-check/
TRUE,Barack Obama,Says Mitt Romney opposes requiring employers to cover contraception and would eliminate funding for Planned Parenthood.,8/4/2012,campaign,Jon Greenberg,8/8/2012,https://www.politifact.com/factchecks/2012/aug/08/barack-obama/obama-slams-romney-on-contraception-and-planned-pa/
mostly-false,Marco Rubio,"""There are at least three sectors of the border, one in particular, that are just completely insecure.""",2/27/2015,speech,Steve Contorno,3/5/2015,https://www.politifact.com/factchecks/2015/mar/05/marco-rubio/marco-rubio-least-three-sectors-border-are-complet/
FALSE,Marco Rubio,"""There comes a point in the last year of the president, especially in their second term, where you stop nominating"" both Supreme Court justices and Court of Appeals judges.",2/14/2016,news,Linda Qiu,2/14/2016,https://www.politifact.com/factchecks/2016/feb/14/marco-rubio/do-presidents-stop-nominating-judges-final-year/
mostly-false,Donald Trump,"""Four times, I said, he (John McCain) is a hero, but you know ... people choose selective pieces.""",7/19/2015,television,Linda Qiu,7/19/2015,https://www.politifact.com/factchecks/2015/jul/19/donald-trump/trump-i-called-mccain-hero-four-times/
half-true,Donald Trump,"""When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.""",6/26/2017,social_media,Manuela Tobias,6/27/2017,https://www.politifact.com/factchecks/2017/jun/27/donald-trump/white-house-criticism-cbo-analysis-misleading/
mostly-true,Greg Abbott,"""If Texas were a country our economy would rank # 10...in the WORLD.""",8/30/2016,social_media,W. Gardner Selby,9/15/2016,https://www.politifact.com/factchecks/2016/sep/15/greg-abbott/greg-abbott-says-if-texas-were-country-its-economy/
FALSE,Joe Biden,"Video shows President Donald Trump saying COVID-19 is Democrats’ ""new hoax.""",3/3/2020,social_media,Daniel Funke,3/15/2020,https://www.politifact.com/factchecks/2020/mar/15/joe-biden/ad-watch-biden-video-twists-trumps-words-coronavir/
FALSE,Donald Trump,"Wisconsin’s ""effective"" unemployment rate is 20 percent.",3/29/2016,speech,Tom Kertscher,3/30/2016,https://www.politifact.com/factchecks/2016/mar/30/donald-trump/donald-trump-wrong-about-wisconsins-effective-unem/
pants-fire,Donald Trump,"""I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.""",3/17/2020,news,Jon Greenberg,3/18/2020,https://www.politifact.com/factchecks/2020/mar/18/donald-trump/trump-says-he-always-felt-coronavirus-was-pandemic/
half-true,Joe Biden,"""The vast majority of our international commitments take effect without congressional approval.""",3/9/2015,statement,Louis Jacobson,3/12/2015,https://www.politifact.com/factchecks/2015/mar/12/joe-biden/joe-biden-says-vast-majority-international-commitm/
FALSE,Greg Abbott,"Texas ""could be very close to herd immunity.""",4/11/2021,news,Brandon Mulder,4/19/2021,https://www.politifact.com/factchecks/2021/apr/19/greg-abbott/calculating-herd-immunity-more-simple-math/
pants-fire,Greg Abbott,"""The fact is voter fraud is rampant.""",3/14/2016,news,W. Gardner Selby,3/17/2016,https://www.politifact.com/factchecks/2016/mar/17/greg-abbott/light-match-greg-abbotts-claim-about-rampant-voter/
mostly-true,Donald Trump,"""We’ve lost 70,000 factories since China joined the World Trade Organization.""",4/18/2017,speech,Tom Kertscher,4/19/2017,https://www.politifact.com/factchecks/2017/apr/19/donald-trump/manufacturing-heavy-wisconsin-donald-trump-links-c/
pants-fire,Marco Rubio,"""Not even Tim Kaine is willing"" to say he trusts Hillary Clinton.",10/17/2016,speech,Allison Graves,10/18/2016,https://www.politifact.com/factchecks/2016/oct/18/marco-rubio/rubio-not-even-tim-kaine-willing-say-he-trusts-hil/
FALSE,Barack Obama,"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.",9/9/2009,speech,Angie Drobnic Holan,9/10/2009,https://www.politifact.com/factchecks/2009/sep/10/barack-obama/national-health-insurance-exchange-has-restriction/
mostly-false,Donald Trump,"In a government shutdown, ""what they are really doing is shutting down our military.""",1/12/2018,social_media,Louis Jacobson,1/17/2018,https://www.politifact.com/factchecks/2018/jan/17/donald-trump/would-military-shut-down-if-federal-government-doe/
FALSE,Donald Trump,"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",6/1/2017,speech,Jon Greenberg,6/5/2017,https://www.politifact.com/factchecks/2017/jun/05/donald-trump/donald-trump-wrong-paris-accord-china-and-coal-pla/
half-true,Barack Obama,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",10/22/2012,speech,Molly Moorhead,10/22/2012,https://www.politifact.com/factchecks/2012/oct/23/barack-obama/obama-romney-called-russia-our-top-geopolitical-fo/
mostly-true,Barack Obama,"Romney ""would turn Medicare into a voucher program.""",10/3/2012,speech,Louis Jacobson,10/3/2012,https://www.politifact.com/factchecks/2012/oct/04/barack-obama/obama-says-romney-wants-turn-medicare-voucher-prog/
TRUE,Marco Rubio,"""The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""",4/13/2015,radio,Lauren Carroll,5/1/2015,https://www.politifact.com/factchecks/2015/may/01/marco-rubio/iran-united-states-disagree-nuclear-deal-framework/
half-true,Donald Trump,"""Two million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago.""",7/21/2016,speech,Lauren Carroll,7/21/2016,https://www.politifact.com/factchecks/2016/jul/22/donald-trump/donald-trump-says-latino-poverty-has-grown-under-o/
mostly-false,Ted Cruz,"""The polling shows over and over again that, unlike Donald Trump, that with me as the nominee, we beat Hillary Clinton.""",4/11/2016,campaign,Chris Nichols,4/12/2016,https://www.politifact.com/factchecks/2016/apr/12/ted-cruz/ted-cruz-repeats-mostly-false-claim-about-polls-sh/
half-true,Barack Obama,"Says Mitt Romney’s plan makes ""catastrophic cuts to education.""",10/27/2012,campaign,Molly Moorhead,10/30/2012,https://www.politifact.com/factchecks/2012/oct/30/barack-obama/obama-ad-says-romney-will-make-catastrophic-cuts-e/
mostly-true,Joe Biden,"""We have created more jobs in this last year than the Bush administration (did) in eight years.""",4/19/2011,speech,Mark Naymik,4/28/2011,https://www.politifact.com/factchecks/2011/apr/28/joe-biden/vice-president-joe-biden-says-there-were-more-new-/
TRUE,Donald Trump,"""One-third of the counties — think of it, one-third — only have one insurer left"" on the Affordable Care Act exchanges.",3/13/2017,other,Lauren Carroll,3/13/2017,https://www.politifact.com/factchecks/2017/mar/13/donald-trump/donald-trump-one-third-counties-have-only-one-insu/
mostly-true,Greg Abbott,"""22 times Barack Obama said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, ‘I just changed the law.’""",2/17/2015,news,W. Gardner Selby,2/23/2015,https://www.politifact.com/factchecks/2015/feb/23/greg-abbott/greg-abbott-says-22-times-barack-obama-said-he-cou/
mostly-true,Joe Biden,"""Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",7/21/2021,television,Louis Jacobson,7/22/2021,https://www.politifact.com/factchecks/2021/jul/22/joe-biden/fact-checking-joe-bidens-figure-unvaccinated-covid/
